#Organism/Name,TaxID,BioProject Accession,BioProject ID,Group,SubGroup,Size (Kb),GC%,Host,Segmemts,Genes,Proteins,Release Date,Modify Date,Status
Rubus yellow net virus,198310,PRJNA273471,273471,Retro-transcribing viruses,Caulimoviridae,7.836,50.1,plants, Unknown:NC_026238.1/KM078034.1,5,5,2014/10/13,2015/08/21,Complete Genome
Pelargonium ringspot virus,167020,PRJNA273472,273472,ssRNA viruses,Tombusviridae,3.865,49.2,plants, Unknown:NC_026240.1/AY038068.2,5,5,2001/07/24,2016/11/17,Complete Genome
Elderberry latent virus,167018,PRJNA273473,273473,ssRNA viruses,Tombusviridae,3.892,52.1,plants, Unknown:NC_026239.1/AY038066.2,5,5,2001/07/24,2015/01/23,Complete Genome
Gairo mammarenavirus,1535802,PRJNA273480,273480,ssRNA viruses,Arenaviridae,10.609,40.8765,"vertebrates, human", segmen  L:NC_026247.1/KJ855307.1;  segmen  S:NC_026246.1/KJ855308.1,4,4,2015/01/15,2015/10/20,Complete Genome
Oxalis yellow vein virus,1602199,PRJNA273529,273529,ssDNA viruses,Geminiviridae,2.661,47.4,plants, DNA-A:NC_026253.1/KM887907.1,6,6,2015/01/21,2015/01/31,Complete Genome
Sewage-associated circular DNA virus-37,1592104,PRJNA274063,274063,ssDNA viruses,unclassified,2.155,49.4,environment, Unknown:NC_026256.1/KM821749.1,2,2,2015/01/12,2015/02/17,Complete Genome
Sewage-associated circular DNA virus-36,1592103,PRJNA274064,274064,ssDNA viruses,unclassified,2.254,51.9,environment, Unknown:NC_026255.1/KM821748.1,2,2,2015/01/12,2015/02/17,Complete Genome
Sewage-associated circular DNA virus-35,1592102,PRJNA274065,274065,ssDNA viruses,unclassified,2.472,55.5,environment, Unknown:NC_026280.1/KM821770.1,2,2,2015/01/12,2015/02/17,Complete Genome
Sewage-associated circular DNA virus-34,1592101,PRJNA274066,274066,ssDNA viruses,unclassified,2.22,32.8,environment, Unknown:NC_026279.1/KM821769.1,2,2,2015/01/12,2015/02/17,Complete Genome
Sewage-associated circular DNA virus-33,1592100,PRJNA274067,274067,ssDNA viruses,unclassified,2.846,37.7,environment, Unknown:NC_026278.1/KM821768.1,2,2,2015/01/12,2015/02/17,Complete Genome
Sewage-associated circular DNA virus-32,1592099,PRJNA274068,274068,ssDNA viruses,unclassified,2.711,46.1,environment, Unknown:NC_026277.1/KM821767.1,2,2,2015/01/12,2015/02/17,Complete Genome
Sewage-associated circular DNA virus-31,1592098,PRJNA274069,274069,ssDNA viruses,unclassified,4.202,41.1,environment, Unknown:NC_026276.1/KM821766.1,3,3,2015/01/12,2015/02/17,Complete Genome
Sewage-associated circular DNA virus-30,1592097,PRJNA274070,274070,ssDNA viruses,unclassified,2.741,46.3,environment, Unknown:NC_026275.1/KM821765.1,2,2,2015/01/12,2015/02/17,Complete Genome
Sewage-associated circular DNA virus-29,1592096,PRJNA274101,274101,ssDNA viruses,unclassified,4.037,38.8,environment, Unknown:NC_026274.1/KM821764.1,3,3,2015/01/12,2015/02/17,Complete Genome
Sewage-associated circular DNA virus-28,1592095,PRJNA274102,274102,ssDNA viruses,unclassified,2.496,51.6,environment, Unknown:NC_026273.1/KM821763.1,2,2,2015/01/12,2015/02/17,Complete Genome
Sewage-associated circular DNA virus-27,1592094,PRJNA274103,274103,ssDNA viruses,unclassified,2.638,45.8,environment, Unknown:NC_026271.1/KM821762.1,2,2,2015/01/12,2015/02/17,Complete Genome
Sewage-associated circular DNA virus-26,1592093,PRJNA274104,274104,ssDNA viruses,unclassified,3.348,39.9,environment, Unknown:NC_026270.1/KM821761.1,2,2,2015/01/12,2015/02/17,Complete Genome
Sewage-associated circular DNA virus-25,1592092,PRJNA274105,274105,ssDNA viruses,unclassified,3.588,47.1,environment, Unknown:NC_026269.1/KM821760.1,3,3,2015/01/12,2015/02/17,Complete Genome
Sewage-associated circular DNA virus-24,1592091,PRJNA274106,274106,ssDNA viruses,unclassified,2.605,41.9,environment, Unknown:NC_026267.1/KM821759.1,2,2,2015/01/12,2015/02/17,Complete Genome
Sewage-associated circular DNA virus-23,1592090,PRJNA274107,274107,ssDNA viruses,unclassified,2.309,41.9,environment, Unknown:NC_026266.1/KM821758.1,2,2,2015/01/12,2015/02/17,Complete Genome
Sewage-associated circular DNA virus-22,1592089,PRJNA274108,274108,ssDNA viruses,unclassified,2.861,49.8,environment, Unknown:NC_026265.1/KM821757.1,2,2,2015/01/12,2015/02/17,Complete Genome
Sewage-associated circular DNA virus-21,1592088,PRJNA274109,274109,ssDNA viruses,unclassified,2.906,51.2,environment, Unknown:NC_026264.1/KM821756.1,2,2,2015/01/12,2015/02/17,Complete Genome
Sewage-associated circular DNA virus-20,1592087,PRJNA274110,274110,ssDNA viruses,unclassified,2.089,43.1,environment, Unknown:NC_026263.1/KM821755.2,2,2,2015/01/12,2015/02/17,Complete Genome
Sewage-associated circular DNA virus-19,1592086,PRJNA274111,274111,ssDNA viruses,unclassified,2.478,41.8,environment, Unknown:NC_026262.1/KM821754.2,2,2,2015/01/12,2015/02/17,Complete Genome
Sewage-associated circular DNA virus-18,1592085,PRJNA274112,274112,ssDNA viruses,unclassified,2.29,44,environment, Unknown:NC_026260.1/KM821753.1,2,2,2015/01/12,2015/02/17,Complete Genome
Sewage-associated circular DNA virus-17,1592084,PRJNA274113,274113,ssDNA viruses,unclassified,2.077,49.8,environment, Unknown:NC_026259.1/KM821752.1,2,2,2015/01/12,2015/02/17,Complete Genome
Sewage-associated circular DNA virus-16,1592083,PRJNA274114,274114,ssDNA viruses,unclassified,2.042,44.3,environment, Unknown:NC_026258.1/KM821751.1,2,2,2015/01/12,2015/02/17,Complete Genome
Sewage-associated circular DNA virus-15,1592082,PRJNA274115,274115,ssDNA viruses,unclassified,1.605,42.2,environment, Unknown:NC_026257.1/KM821750.1,2,2,2015/01/12,2015/02/17,Complete Genome
Sewage-associated gemycircularvirus 1,1592081,PRJNA274116,274116,Other,Genomoviridae,2.234,51.9,environment, Unknown:NC_026254.1/KM821747.1,2,2,2015/01/12,2015/02/17,Complete Genome
Maprik virus,1590836,PRJNA274117,274117,ssRNA viruses,Peribunyaviridae,12.113,32.8542,"vertebrates, invertebrates", segmen  L:NC_026281.1/KJ481926.1;  segmen  M:NC_026283.1/KJ481925.1;  segmen  S:NC_026282.1/KJ481924.1,3,3,2015/01/15,2015/10/20,Complete Genome
Trifolium-associated circular DNA virus 1,1590173,PRJNA274118,274118,ssDNA viruses,unclassified,2.751,53.2,plants, Unknown:NC_026272.1/KP005453.1,3,3,2015/01/11,2015/01/31,Complete Genome
Bromus-associated circular DNA virus 3,1590156,PRJNA274119,274119,Other,Genomoviridae,2.238,48.1,plants, Unknown:NC_026261.1/KM510192.1,2,2,2015/01/11,2015/01/31,Complete Genome
Pseudoplusia includens SNPV IE,1592335,PRJNA274120,274120,"dsDNA viruses, no RNA stage",Baculoviridae,139.132,39.3,invertebrates, Unknown:NC_026268.1/KJ631622.1,141,141,2015/01/18,2015/03/17,Complete Genome
Rabovirus A,1603962,PRJNA274150,274150,ssRNA viruses,Picornaviridae,7.853,43.2,vertebrates, Unknown:NC_026314.1/KP233897.1,1,1,2015/01/28,2015/10/22,Complete Genome
Lesavirus 2,1603964,PRJNA274154,274154,ssRNA viruses,Picornaviridae,7.593,44.5,vertebrates, Unknown:NC_026316.1/KM396708.1,1,1,2015/01/28,2015/04/16,Complete Genome
Lesavirus 1,1603963,PRJNA274155,274155,ssRNA viruses,Picornaviridae,7.687,45.3,vertebrates, Unknown:NC_026315.1/KM396707.1,1,1,2015/01/28,2015/04/16,Complete Genome
Lemur smacovirus,1603069,PRJNA274156,274156,unclassified viruses,unclassified,2.651,48.1,vertebrates, Unknown:NC_026320.1/KP233194.1,2,2,2015/01/28,2015/01/31,Complete Genome
Gorilla smacovirus,1603068,PRJNA274157,274157,unclassified viruses,unclassified,2.532,52.3,vertebrates, Unknown:NC_026319.1/KP233191.1,2,2,2015/01/28,2015/01/31,Complete Genome
Chimpanzee smacovirus,1603067,PRJNA274158,274158,unclassified viruses,unclassified,2.529,48.8,vertebrates, Unknown:NC_026318.1/KP233190.1,2,2,2015/01/28,2015/01/31,Complete Genome
Black howler monkey smacovirus,1603066,PRJNA274159,274159,unclassified viruses,unclassified,2.485,49.5,vertebrates, Unknown:NC_026317.1/KP233189.1,2,2,2015/01/28,2015/01/31,Complete Genome
Human smacovirus 1,1595998,PRJNA273530,273530,unclassified viruses,unclassified,2.46,43.9,"vertebrates, human", Unknown:NC_026252.1/KP264966.1,2,2,2015/01/20,2015/01/26,Complete Genome
Thaumetopoea pityocampa iflavirus 1,1591444,PRJNA273531,273531,ssRNA viruses,Iflaviridae,9.816,33.5,invertebrates, Unknown:NC_026250.1/KP217032.1,1,1,2015/01/12,2015/01/26,Complete Genome
Bovine picornavirus,1564115,PRJNA273532,273532,ssRNA viruses,Picornaviridae,7.018,50.4,vertebrates, Unknown:NC_026249.1/KM589358.1,1,1,2015/01/14,2015/01/26,Complete Genome
Sesavirus CSL10538,1519097,PRJNA273533,273533,ssDNA viruses,Parvoviridae,5.049,49.3,vertebrates, Unknown:NC_026251.1/KM035804.1,2,2,2015/01/22,2015/08/21,Complete Genome
Equid gammaherpesvirus 5,10371,PRJNA274586,274586,"dsDNA viruses, no RNA stage",Herpesviridae,182.38,54.7,vertebrates, Unknown:NC_026421.1/KM924295.1,79,79,2015/01/30,2015/05/06,Complete Genome
Condylorrhiza vestigialis MNPV,1592576,PRJNA274777,274777,"dsDNA viruses, no RNA stage",Baculoviridae,125.767,42.9,invertebrates, Unknown:NC_026430.1/KJ631623.1,138,138,2015/01/31,2015/02/06,Complete Genome
Pandoravirus inopinatum,1605721,PRJNA274798,274798,"dsDNA viruses, no RNA stage",unclassified,2243.11,60.7,protozoa, Unknown:NC_026440.1/KP136319.1,1840,1839,2015/02/04,2015/10/17,Chromosome
Coconut foliar decay alphasatellite,1458187,PRJNA14067,14067,Satellites,unclassified,1.291,50.7,plants, Unknown:NC_001465.1/M29963.1,6,6,1990/09/15,2014/03/05,Complete Genome
Squash yellow mild mottle virus,1051966,PRJNA14186,14186,ssDNA viruses,Geminiviridae,5.325,43.0002,plants, DNA A:NC_003865.1/AY064391.1;  DNA B:NC_003860.1/AF440790.1,6,6,2001/11/20,2011/07/01,Complete Genome
Aedes albopictus densovirus 2,1513199,PRJNA14581,14581,ssDNA viruses,Parvoviridae,4.176,38.2,invertebrates, Unknown:NC_004285.1/X74945.1,3,3,1994/07/07,2014/07/25,Complete Genome
Wasabi mottle virus,1169032,PRJNA14733,14733,ssRNA viruses,Virgaviridae,6.298,43.5,plants, Unknown:NC_003355.1/AB017503.1,4,4,2002/01/05,2012/04/07,Complete Genome
Bovine kobuvirus,1476554,PRJNA14948,14948,ssRNA viruses,Picornaviridae,8.374,54.6,vertebrates, Unknown:NC_004421.1/AB084788.1,1,1,2002/11/09,2008/07/25,Complete Genome
Human parvovirus 4 G1,1511919,PRJNA15414,15414,ssDNA viruses,Parvoviridae,5.268,45,vertebrates, Unknown:NC_007018.1/AY622943.1,2,2,2005/05/01,2014/11/17,Complete Genome
PreXMRV-1,1038068,PRJNA16631,16631,Retro-transcribing viruses,Retroviridae,8.197,53.5,vertebrates, Unknown:NC_007815.2/FR871849.1,2,2,2006/03/16,2011/07/03,Complete Genome
Penaeus monodon hepandensovirus 1,1513204,PRJNA15556,15556,ssDNA viruses,Parvoviridae,6.321,41.7,invertebrates, Unknown:NC_007218.1/DQ002873.1,3,3,2005/06/30,2014/06/20,Complete Genome
Meles meles polyomavirus 1,1608323,PRJNA275612,275612,"dsDNA viruses, no RNA stage",Polyomaviridae,5.187,42.8,vertebrates, Unknown:NC_026473.1/KP644238.1,5,5,2015/02/09,2015/12/17,Complete Genome
Yacon necrotic mottle virus,1561150,PRJNA275613,275613,Retro-transcribing viruses,Caulimoviridae,7.661,41.7,plants, Unknown:NC_026472.1/KM229702.1,4,4,2015/02/11,2015/02/17,Complete Genome
Nile crocodilepox virus,1285600,PRJNA16798,16798,"dsDNA viruses, no RNA stage",Poxviridae,190.054,61.9,vertebrates, Unknown:NC_008030.1/DQ356948.1,173,173,2006/05/05,2013/01/23,Complete Genome
Tomato leaf curl Karnataka betasatellite,1397670,PRJNA17999,17999,Satellites,Tolecusatellitidae,1.358,38.4,plants, DNA-A:NC_008523.1/AY754813.1,1,1,2006/10/01,2010/03/11,Complete Genome
Tomato mild yellow leaf curl Aragua virus,1124577,PRJNA19653,19653,ssDNA viruses,Geminiviridae,5.168,44.7087,plants, DNA A:NC_009490.1/AY927277.1;  DNA B:NC_009491.1/EF547938.1,5,5,2005/03/08,2012/02/29,Complete Genome
Aedes aegypti densovirus 2,1513196,PRJNA37821,37821,ssDNA viruses,Parvoviridae,3.776,37.2,invertebrates, Unknown:NC_012636.1/FJ360744.1,3,3,2009/04/30,2014/06/20,Complete Genome
Salivirus A,1330524,PRJNA39553,39553,ssRNA viruses,Picornaviridae,7.989,56.7,"vertebrates, human", Unknown:NC_012986.1/GQ184145.1,1,1,2009/07/04,2013/05/16,Complete Genome
Bornean orang-utan polyomavirus,1604874,PRJNA41471,41471,"dsDNA viruses, no RNA stage",Polyomaviridae,5.168,40.2,vertebrates, Unknown:NC_013439.1/FN356900.1,5,5,2009/10/08,2015/02/12,Complete Genome
Cosavirus A,1330491,PRJNA38497,38497,ssRNA viruses,Picornaviridae,7.632,43.8,"vertebrates, human", Unknown:NC_012800.1/FJ438902.1,1,1,2009/01/10,2013/05/07,Complete Genome
Cricetid gammaherpesvirus 2,1605972,PRJNA62491,62491,"dsDNA viruses, no RNA stage",Herpesviridae,124.335,45.2,vertebrates, Unknown:NC_015049.1/HQ221963.1,82,82,2011/02/02,2011/03/01,Complete Genome
Saimiriine betaherpesvirus 4,1535247,PRJNA78947,78947,"dsDNA viruses, no RNA stage",Herpesviridae,196.691,46.8,vertebrates, Unknown:NC_016448.1/FJ483967.2,141,141,2009/06/06,2014/08/14,Complete Genome
Helicobacter phage phiHP33,1069378,PRJNA64479,64479,"dsDNA viruses, no RNA stage",Siphoviridae,24.645,37.3,bacteria, Unknown:NC_016568.1/JF734911.1,27,27,2011/11/23,2012/08/08,Complete Genome
Bovine hungarovirus 1,1431464,PRJNA176432,176432,ssRNA viruses,Picornaviridae,7.583,45.6,vertebrates, Unknown:NC_018668.1/JQ941880.1,1,1,2012/09/25,2013/12/04,Complete Genome
Escherichia phage ECBP2,1604355,PRJNA177528,177528,"dsDNA viruses, no RNA stage",Podoviridae,77.315,42.4,bacteria, Unknown:NC_018859.1/JX415536.1,121,120,2012/09/15,2015/01/30,Complete Genome
Cyrtanthus elatus virus A,861561,PRJNA167578,167578,ssRNA viruses,Potyviridae,9.908,41.8,plants, Unknown:NC_017977.1/JQ723475.1,2,2,2012/05/20,2017/03/23,Complete Genome
Human papillomavirus type 166,1315259,PRJNA178458,178458,"dsDNA viruses, no RNA stage",Papillomaviridae,7.212,38.3,vertebrates, Unknown:NC_019023.1/JX413104.1,7,6,2012/10/23,2013/09/13,Complete Genome
Escherichia phage ECBP1,1604356,PRJNA177527,177527,"dsDNA viruses, no RNA stage",Podoviridae,69.855,42.7,bacteria, Unknown:NC_018854.1/JX415535.1,84,82,2012/09/15,2015/01/30,Complete Genome
Vervet monkey polyomavirus 1,1286216,PRJNA183709,183709,"dsDNA viruses, no RNA stage",Polyomaviridae,5.157,39.6,vertebrates, Unknown:NC_019844.1/AB767298.1,4,4,2012/12/08,2013/05/24,Complete Genome
Canine bocavirus 1,1511885,PRJNA193977,193977,ssDNA viruses,Parvoviridae,5.413,50.6,vertebrates, Unknown:NC_020499.1/JN648103.1,4,4,2011/11/22,2014/11/06,Complete Genome
Lactobacillus phage phiAQ113,1206110,PRJEB134,184392,"dsDNA viruses, no RNA stage",Myoviridae,36.566,36.5,bacteria, Unknown:NC_019782.1/HE956704.1,56,56,2012/12/06,2013/10/25,Complete Genome
Ustilaginoidea virens partitivirus 2,1415665,PRJNA213142,213142,dsRNA viruses,Partitiviridae,3.064,46.6441,plants, RNA 1:NC_021873.1/KF361014.1;  Unknown:NC_021874.1/KF361015.1,2,2,2013/07/23,2015/10/20,Complete Genome
Invertebrate iridovirus 22,1301279,PRJEB1566,213405,"dsDNA viruses, no RNA stage",Iridoviridae,197.693,28,invertebrates, Unknown:NC_021901.1/HF920633.1,167,167,2013/07/25,2013/09/12,Complete Genome
Human papillomavirus type 179,1472342,PRJNA215652,215652,"dsDNA viruses, no RNA stage",Papillomaviridae,7.228,36.8,"vertebrates, human", Unknown:NC_022095.1/HG421739.1,6,6,2013/08/14,2014/03/14,Complete Genome
Suid betaherpesvirus 2,1608255,PRJNA217990,217990,"dsDNA viruses, no RNA stage",Herpesviridae,128.367,45.5,vertebrates, Unknown:NC_022233.1/KF017583.1,80,80,2013/08/28,2013/09/04,Complete Genome
Cronobacter phage Dev2,1410331,PRJEB4846,232453,"dsDNA viruses, no RNA stage",Podoviridae,38.966,52.6,bacteria, Unknown:NC_023558.1/HG813241.1,45,45,2014/01/28,2016/02/06,Complete Genome
Anopheline-associated C virus,1398939,PRJNA206059,206059,unclassified viruses,unclassified,3.599,54.8,invertebrates, 1:NC_023682.1/KF298278.1,3,3,2013/09/30,2015/10/20,Complete Genome
Madariaga virus,1440170,PRJNA183000,183000,ssRNA viruses,Togaviridae,11.624,49.1,"vertebrates, invertebrates", Unknown:NC_023812.1/KJ469640.1,2,2,2014/03/17,2014/03/20,Complete Genome
Enterococcus phage VD13,1458851,PRJNA230494,230494,"dsDNA viruses, no RNA stage",Siphoviridae,55.726,40,bacteria, Unknown:NC_024212.1/KJ127303.1,89,88,2014/04/17,2014/06/02,Complete Genome
Feline astrovirus D1,1538452,PRJNA258184,258184,ssRNA viruses,Astroviridae,6.598,48.5,vertebrates, Unknown:NC_024701.1/KM017741.1,3,3,2014/08/11,2014/11/21,Complete Genome
Dickeya phage RC-2014,1477406,PRJNA242299,242299,"dsDNA viruses, no RNA stage",Myoviridae,155.346,49.6,bacteria, Unknown:NC_025452.1/KJ716335.1,197,196,2014/08/11,2014/11/10,Complete Genome
Human bocavirus 2c PK,1511882,PRJNA33891,33891,ssDNA viruses,Parvoviridae,5.196,41.6,vertebrates, Unknown:NC_012042.1/FJ170278.1,4,4,2009/02/04,2016/08/01,Complete Genome
Sclerotinia sclerotiorum mitovirus 1 HC025,1494074,PRJNA275808,275808,ssRNA viruses,Narnaviridae,2.53,39.8,fungi, Unknown:NC_026510.1/KJ463570.1,1,1,2015/02/16,2015/02/26,Complete Genome
Cucurbit aphid borne yellows virus associated RNA,1611875,PRJNA275895,275895,Other,Other,2.934,50.1,plants, Unknown:NC_026508.1/KM486094.1,2,2,2015/02/18,2015/02/26,Complete Genome
Spodoptera frugiperda granulovirus,307454,PRJNA276252,276252,"dsDNA viruses, no RNA stage",Baculoviridae,140.913,46.2,invertebrates, Unknown:NC_026511.1/KM371112.1,146,146,2015/02/16,2015/02/26,Complete Genome
Asystasia mosaic Madagascar virus,1611435,PRJNA276253,276253,ssDNA viruses,Geminiviridae,5.404,42.312,plants, DN  A:NC_026514.1/KP663485.1;  DN  B:NC_026513.1/KP663484.1,8,8,2015/02/17,2015/10/20,Complete Genome
Mosquito circovirus,1611039,PRJNA276254,276254,ssDNA viruses,Circoviridae,1.759,46.5,vertebrates, Unknown:NC_026512.1/KM972725.1,2,2,2015/02/18,2015/04/03,Complete Genome
Staphylococcus virus 47,320839,PRJNA15270,15270,"dsDNA viruses, no RNA stage",Siphoviridae,44.777,33.5,bacteria, Unknown:NC_007054.1/AY954957.1,65,65,2005/04/05,2015/02/14,Complete Genome
Enterobacteria phage G4,10843,PRJNA14318,14318,ssDNA viruses,Microviridae,5.577,45.7,bacteria, Unknown:NC_001420.2/V00657.1,13,11,1982/06/09,2015/02/10,Complete Genome
Ageratum yellow vein alphasatellite,187850,PRJNA14232,14232,Satellites,unclassified,1.36,40,plants, Unknown:NC_003414.1/AJ416153.1,1,1,2002/02/14,2010/11/10,Complete Genome
Pseudomonas phage vB_PaeM_PAO1_Ab27,1548907,PRJNA276681,276681,"dsDNA viruses, no RNA stage",Myoviridae,66.299,55.7,bacteria, Unknown:NC_026586.1/LN610579.1,93,93,2014/11/10,2015/07/03,Complete Genome
uncultured phage WW-nAnB,1074044,PRJNA276713,276713,ssDNA viruses,Inoviridae,4.817,44.4,bacteria, Unknown:NC_026582.1/JN402401.1,8,8,2011/10/05,2015/03/04,Complete Genome
Mycobacterium phage Cerasum,1527463,PRJNA276849,276849,"dsDNA viruses, no RNA stage",Siphoviridae,53.636,61.5,bacteria, Unknown:NC_026604.1/KM215148.1,102,102,2014/08/26,2015/03/04,Complete Genome
Mycobacterium phage Gaia,1486472,PRJNA276850,276850,"dsDNA viruses, no RNA stage",Siphoviridae,90.46,56.8,bacteria, Unknown:NC_026590.1/KJ567043.1,183,179,2014/06/28,2015/03/04,Complete Genome
Salmonella phage STP4-a,1445860,PRJNA276851,276851,"dsDNA viruses, no RNA stage",Myoviridae,159.914,36.9,bacteria, Unknown:NC_026607.2/KJ000058.2,259,259,2015/02/10,2015/07/01,Complete Genome
Paracoccus phage vB_PmaS_IMEP1,1561065,PRJNA276855,276855,"dsDNA viruses, no RNA stage",Siphoviridae,42.093,56.4,bacteria, Unknown:NC_026608.1/KP162168.1,52,52,2015/01/18,2015/03/04,Complete Genome
Pseudomonas phage vB_PaeS_PAO1_Ab30,1548918,PRJNA276856,276856,"dsDNA viruses, no RNA stage",Siphoviridae,37.238,64.1,bacteria, Unknown:NC_026601.1/LN610590.1,59,59,2014/11/10,2015/07/03,Complete Genome
Pseudomonas phage vB_PaeM_C1-14_Ab28,1548917,PRJNA276857,276857,"dsDNA viruses, no RNA stage",Myoviridae,66.181,54.9,bacteria, Unknown:NC_026600.1/LN610589.1,-,-,2014/11/10,2015/07/03,Complete Genome
Pseudomonas phage vB_PaeP_C2-10_Ab22,1548906,PRJNA276858,276858,"dsDNA viruses, no RNA stage",Podoviridae,45.808,52.4,bacteria, Unknown:NC_026599.1/LN610578.1,74,71,2014/11/10,2015/07/03,Complete Genome
Pseudomonas phage vB_PaeS_PAO1_Ab18,1548905,PRJNA276859,276859,"dsDNA viruses, no RNA stage",Siphoviridae,56.537,63.5,bacteria, Unknown:NC_026594.1/LN610577.1,76,76,2014/11/10,2015/07/03,Complete Genome
Pseudomonas phage vB_PaeP_PAO1_Ab05,1548902,PRJNA276860,276860,"dsDNA viruses, no RNA stage",Podoviridae,43.639,62.3,bacteria, Unknown:NC_026602.1/LN610574.1,54,54,2014/11/10,2015/07/03,Complete Genome
Pseudomonas phage vB_PaeM_PAO1_Ab03,1548901,PRJNA276861,276861,"dsDNA viruses, no RNA stage",Myoviridae,86.246,54.7,bacteria, Unknown:NC_026587.1/LN610573.1,159,156,2014/11/10,2016/06/25,Complete Genome
Vibrio phage VpKK5,1538804,PRJNA276862,276862,"dsDNA viruses, no RNA stage",Siphoviridae,56.637,51.3,bacteria, Unknown:NC_026610.2/KM378617.2,80,80,2014/09/09,2015/10/19,Complete Genome
Edwardsiella phage GF-2,1537091,PRJNA276863,276863,"dsDNA viruses, no RNA stage",Myoviridae,43.129,51.3,bacteria, Unknown:NC_026611.1/AP014629.1,82,82,2014/08/21,2016/06/10,Complete Genome
Uncultured phage WW-nAnB strain 3,1449897,PRJNA276864,276864,ssDNA viruses,Inoviridae,5.21,43.5,bacteria, Unknown:NC_026613.1/KJ003982.1,8,8,2014/01/29,2015/03/04,Complete Genome
Uncultured phage WW-nAnB strain 2,1449896,PRJNA276865,276865,ssDNA viruses,Inoviridae,5.077,45,bacteria, Unknown:NC_026612.1/KJ003981.1,8,8,2014/01/29,2015/03/04,Complete Genome
Citrus yellow vein clearing virus,1214459,PRJNA276866,276866,ssRNA viruses,Alphaflexiviridae,7.531,51.4,plants, Unknown:NC_026592.1/KP313240.1,6,6,2015/02/23,2015/03/04,Complete Genome
Mycobacterium phage Sbash,1567475,PRJNA276867,276867,"dsDNA viruses, no RNA stage",Siphoviridae,55.832,65.6,bacteria, Unknown:NC_026589.1/KP027201.1,89,89,2014/12/28,2015/03/04,Complete Genome
Mycobacterium phage Milly,1567473,PRJNA276868,276868,"dsDNA viruses, no RNA stage",Siphoviridae,58.211,68.3,bacteria, Unknown:NC_026598.1/KP027206.1,94,94,2014/12/28,2015/03/04,Complete Genome
Mycobacterium phage Malithi,1567472,PRJNA276869,276869,"dsDNA viruses, no RNA stage",Siphoviridae,46.869,67.1,bacteria, Unknown:NC_026605.1/KP027200.1,79,79,2015/02/01,2017/01/17,Complete Genome
Mycobacterium phage Keshu,1567471,PRJNA276870,276870,"dsDNA viruses, no RNA stage",Siphoviridae,61.251,67.3,bacteria, Unknown:NC_026603.1/KP027199.1,101,101,2015/01/18,2015/03/04,Complete Genome
Mycobacterium phage Alvin,1567466,PRJNA276871,276871,"dsDNA viruses, no RNA stage",Siphoviridae,49.577,63.6,bacteria, Unknown:NC_026583.1/KP027205.1,86,86,2015/01/18,2015/03/04,Complete Genome
Arthrobacter phage vB_ArtM-ArV1,1566993,PRJNA276872,276872,"dsDNA viruses, no RNA stage",Myoviridae,71.2,61.6,bacteria, Unknown:NC_026606.1/KM879463.1,101,101,2015/01/01,2016/07/12,Complete Genome
Lactobacillus phage Ldl1,1552735,PRJNA276873,276873,"dsDNA viruses, no RNA stage",Siphoviridae,74.806,37.8,bacteria, Unknown:NC_026609.1/KM514685.1,79,79,2014/12/23,2015/03/04,Complete Genome
Mycobacterium phage Estave1,1536603,PRJNA276874,276874,"dsDNA viruses, no RNA stage",Siphoviridae,60.727,61.3,bacteria, Unknown:NC_026585.1/KM279937.1,112,112,2014/09/09,2015/03/04,Complete Genome
Mycobacterium phage BuzzLyseyear,1536598,PRJNA276875,276875,"dsDNA viruses, no RNA stage",Siphoviridae,59.419,61.1,bacteria, Unknown:NC_026593.1/KM347889.1,110,110,2014/09/10,2015/03/04,Complete Genome
Mycobacterium phage Inventum,1527580,PRJNA276876,276876,"dsDNA viruses, no RNA stage",Siphoviridae,57.052,61.4,bacteria, Unknown:NC_026596.1/KM066034.1,102,102,2014/08/26,2015/03/04,Complete Genome
Mycobacterium phage Trike,1527536,PRJNA276877,276877,"dsDNA viruses, no RNA stage",Siphoviridae,44.716,64.5,bacteria, Unknown:NC_026591.1/KM101120.1,68,65,2014/08/26,2015/03/04,Complete Genome
Mycobacterium phage Minerva,1527513,PRJNA276878,276878,"dsDNA viruses, no RNA stage",Siphoviridae,109.871,60.7,bacteria, Unknown:NC_026584.1/KM101123.1,239,238,2014/08/26,2015/03/04,Complete Genome
Mycobacterium phage Squirty,1527512,PRJNA276879,276879,"dsDNA viruses, no RNA stage",Siphoviridae,60.285,62.4,bacteria, Unknown:NC_026588.1/KM101124.1,102,102,2014/09/09,2015/03/04,Complete Genome
Mycobacterium phage Hades,1527511,PRJNA276880,276880,"dsDNA viruses, no RNA stage",Siphoviridae,54.986,61.4,bacteria, Unknown:NC_026595.1/KM101122.1,102,102,2014/08/26,2015/03/04,Complete Genome
Mycobacterium phage Sparky,1527493,PRJNA276881,276881,"dsDNA viruses, no RNA stage",Siphoviridae,63.334,65.2,bacteria, Unknown:NC_026597.1/KM083128.1,95,91,2014/08/06,2015/10/07,Complete Genome
Avastrovirus 1,1239437,PRJNA15096,15096,ssRNA viruses,Astroviridae,7.003,43.6,vertebrates, Unknown:NC_002470.1/Y15936.2,2,3,1997/12/19,2015/02/10,Complete Genome
Mannheimia phage phiMhaA1-PHL101,376820,PRJNA17103,17103,"dsDNA viruses, no RNA stage",Myoviridae,34.525,41.6,bacteria, Unknown:NC_008201.1/DQ426904.1,50,49,2006/06/14,2010/03/26,Complete Genome
